datetime,open,high,low,close
2023-01-03 14:00:00,43431.0,43441.3,43364.6,43367.6
2022-02-04 14:00:00,38885.6,38899.45,38765.65,38818.6
2022-05-09 13:15:00,34349.4,34384.15,34286.15,34287.7
2022-05-31 14:00:00,35823.9,35837.75,35790.45,35795.2
2023-05-25 13:00:00,43492.9,43498.85,43430.6,43476.4
2023-05-18 15:15:00,43753.0,43805.65,43703.45,43770.1
2022-10-12 09:45:00,38845.1,38935.35,38828.1,38918.2
2023-07-10 11:15:00,44958.7,44958.7,44880.8,44891.4
2023-04-12 14:00:00,41543.6,41560.2,41491.15,41537.1
2022-03-25 14:15:00,35272.9,35367.7,35256.5,35348.3
2023-06-21 09:45:00,43895.9,43919.95,43866.9,43904.0
2022-05-31 13:15:00,35727.8,35799.95,35691.1,35692.1
2023-04-18 11:30:00,42450.1,42450.15,42396.05,42407.6
2022-09-09 09:15:00,40520.8,40605.85,40470.95,40587.1
2022-05-24 11:00:00,34356.1,34379.7,34296.35,34297.4
2023-05-15 10:45:00,43968.9,44014.6,43918.4,43976.6
2022-06-21 14:15:00,33500.0,33529.95,33450.4,33477.6
2022-05-11 12:00:00,34515.6,34542.25,34413.4,34477.6
2022-08-22 11:45:00,38339.1,38386.4,38328.9,38365.8
2022-04-04 15:15:00,38644.1,38687.7,38581.95,38600.9
2023-02-03 14:45:00,41379.6,41457.25,41371.85,41421.1
2023-07-07 12:30:00,44884.1,44889.8,44853.75,44878.8
2022-09-15 12:15:00,41224.6,41313.1,41209.8,41300.1
2023-06-01 15:15:00,43795.6,43801.15,43706.15,43790.0
2023-03-15 10:15:00,39699.0,39742.65,39651.75,39653.6
2022-06-08 14:00:00,34944.6,34950.65,34848.6,34888.3
2022-04-19 15:15:00,36365.1,36390.7,35926.3,36070.6
2022-03-22 11:15:00,35652.9,35666.05,35630.15,35639.7
2022-07-28 11:15:00,37317.8,37332.85,37263.05,37275.1
2023-04-28 10:15:00,42830.1,42880.65,42822.4,42869.3
2022-07-21 10:15:00,36143.3,36152.25,36081.65,36098.1
2022-05-30 11:15:00,36042.8,36044.15,35981.1,36029.2
